eta_battery_mean,eta_battery_p05,eta_battery_p95,n_samples,T_bat_C
0.9724794912169015,0.9379598781858177,0.9928157389082307,488915,6.0
0.9656762988130251,0.9210606478372958,0.9917128172203841,197264,8.0
0.9568219689637574,0.895723227786642,0.9891904746336063,27773,10.0
0.9750933742741994,0.9435681815921665,0.9933123299141389,631619,16.0
0.9656598676139301,0.9223653557403972,0.991346934906274,142629,18.0
0.9496199054190692,0.8635209070192951,0.9884186532356145,9497,20.0
0.9767888470407017,0.9480442328443455,0.9935158461794024,684137,26.0
0.9633016609709962,0.9132468995570484,0.9911935680020669,114871,28.0
0.9431706359698515,0.8531127270776442,0.9868768769410927,7053,30.0
0.97851078875013,0.9522680988046615,0.9936922374620037,718963,36.0
0.9679294173706638,0.9260991915439121,0.9919143429535985,91786,38.0
0.9466503634044258,0.863955606554715,0.983369809191405,5489,40.0
0.9780528765243354,0.951690807046573,0.9936266779314139,769370,46.0
0.9659739822163081,0.9209882428355354,0.9916811632978703,55837,48.0
